model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,epoch,val_exact
val_meta_C0.35,0.53314826910516,0.53314826910516,0.8775310254735467,0.9653821032005225,0.2615640873661377,0.515888395731343,1.1053233180927498,0.6360222077073808,0.07075002516862981,0.05004031607805193,0.17443502824858756,0.8851306160307857,0.6623356716803688,,0.5543988569095734
val_meta_C0.7,0.5326583932070542,0.5326583932070542,0.8775310254735467,0.9648922273024167,0.27210505019821346,0.5168375219648658,1.1071195297191379,0.6368386675375571,0.09212817833507489,0.06638445412030318,0.19950980392156864,0.8796143610108337,0.6596589427221057,,0.5580730761379873
val_meta_C0.05_bias,0.5323318092749837,0.5323318092749837,0.8726322664924886,0.9630960156760288,0.24449684068635086,0.50707075154747,1.1342259960809928,0.6443500979751796,0.04791399229781772,0.03248669569424286,0.16304347826086957,0.9260941238191062,0.685853065708092,,0.5529699938763013
val_meta_C0.15,0.5318419333768779,0.5318419333768779,0.8762246897452646,0.9639124755062051,0.24790470615726842,0.5114913957862525,1.1152841280209014,0.6397779229261921,0.04675195627872314,0.030599903241412672,0.14835443037974683,0.9017194686298662,0.670228506687995,,0.5519493774239641
val_meta_C0.35_bias,0.5318419333768779,0.5318419333768779,0.8703461789679948,0.9616263879817113,0.25193263719988107,0.5069547116447276,1.1515349444807315,0.6489222730241672,0.06717536813922356,0.04893565553942912,0.135,0.8926986082981329,0.6588964684751214,,0.5597060624617268
val_meta_C0.15_bias,0.5316786414108425,0.5316786414108425,0.8708360548661006,0.9629327237099935,0.24237769268970966,0.504888911309523,1.1384715871979099,0.6466361854996734,0.047784266575060116,0.031027253668763098,0.11499999999999999,0.9018211509586357,0.6663479612729875,,0.5582771994284548
val_meta_C0.7_bias,0.5311887655127367,0.5311887655127367,0.8739386022207707,0.9640757674722403,0.2587009216169436,0.5098852395969113,1.1291639451338995,0.6435336381450033,0.07673832984471027,0.05491856152233511,0.2217097862767154,0.8840364965738007,0.6587259897336009,,0.5623596652378037
val_meta_C0.05,0.5311887655127367,0.5311887655127367,0.8716525146962769,0.962606139777923,0.22683354858301322,0.5035482067129935,1.1441868060091442,0.6474526453298498,0.010344827586206896,0.0056603773584905665,0.06,0.9503850947044252,0.6923232642438795,,0.5462339252908757
extra_trees1000,0.5124101894186806,0.5124101894186806,0.8443827563683867,0.9438275636838668,0.24327891601513335,0.4756960768643549,1.3793272370999348,0.7170150228608753,0.08184666738883606,0.0457781003064022,0.4198198198198198,0.9938487497017093,0.726669658012143,,
extra_trees500,0.51208360548661,0.51208360548661,0.8435662965382104,0.9444807315480078,0.239876195391088,0.4755872584067,1.3799804049640758,0.7176681907250163,0.07420355137075678,0.04132720528946944,0.38901960784313727,0.9967947492985826,0.7274212927453849,,
no_usergrade_edge_gat_seed471,0.5111038536903985,0.5111038536903985,0.8638145003265839,0.9621162638798171,0.2450092471102673,0.5006206676007119,1.182560418027433,0.6750489875898106,0.04380952380952381,0.05897435897435897,0.03484848484848485,1.0035315744505382,0.7199478079637391,1.0,0.5135741988160849
no_usergrade_edge_gat_seed572,0.5001632919660353,0.5001632919660353,0.8492815153494448,0.955421293272371,0.29950406800116003,0.49359206325517524,1.3001306335728282,0.7109732201175702,0.17608576813163931,0.21033059184002578,0.1520670882455265,1.0157315175539767,0.6975425843254753,13.0,0.508062869973464
sgd_alpha0.001,0.43468321358589157,0.43468321358589157,0.7882103200522534,0.9147615937295885,0.23173549317934442,0.4284176354800709,2.0124101894186808,0.9088830829523188,0.0982791976377151,0.08888405095952265,0.11361649944258638,1.757967267970641,0.8755697728534587,,
sgd_alpha0.0001,0.43141737426518617,0.43141737426518617,0.784944480731548,0.9139451338994121,0.21199598728146593,0.42014350796701433,2.0316786414108425,0.9163945133899413,0.06979233623006494,0.055531365908724394,0.0952051282051282,1.871779269012647,0.9033521394676065,,
sgd_alpha0.0003,0.42619203135205747,0.42619203135205747,0.7838014369693012,0.9118223383409536,0.22177542099442132,0.4200114437088596,2.0507838014369693,0.9250489875898106,0.08812538344105351,0.0776842444766973,0.10413078149920255,1.8189563518699445,0.8929157434606663,,
