model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,val_exact,members,weights,target_exact_met
extra_trees500_no_usergrade,0.5248203788373612,0.5248203788373612,0.8546701502286087,0.9503592423252776,0.2527386792513334,0.49922553195180486,1.2854343566296538,0.6858262573481385,0.07624008018612008,0.04778261570714401,0.20496894409937888,0.9814990210046453,0.7272494879018362,,,,False
extra_trees900_no_usergrade,0.5241672109732202,0.5241672109732202,0.8561397779229262,0.9503592423252776,0.25006330263996707,0.4985319299223764,1.2761267145656434,0.6846832135858916,0.070659225801635,0.04427511691662635,0.19110007639419402,0.9793186239110031,0.7267679434253385,,,,False
val_logistic_stack_C0.15_no_usergrade,0.5106139777922927,0.5106139777922927,0.8641410842586544,0.9639124755062051,0.28811737606136717,0.5017596058255348,1.19578706727629,0.6758654474199869,0.14558569960614853,0.119895178197065,0.19204987320371933,0.9021422141290332,0.6596576412861958,0.6825882833231272,,,False
sgd_log_alpha0.001_no_usergrade,0.5050620509470934,0.5050620509470934,0.8492815153494448,0.9526453298497713,0.26838418738717107,0.49139842843491294,1.3460156760287394,0.7130960156760288,0.10490281855613026,0.08223996129656508,0.16292490118577074,0.8991856200763384,0.6877453478848525,,,,False
val_logistic_stack_C0.15_no_usergrade_exact_bias,0.5044088830829523,0.5044088830829523,0.8605486610058785,0.9606466361854997,0.2817179470791524,0.49354901189112343,1.2362834748530371,0.6899085564990203,0.14461567084598245,0.1308450249959684,0.16448300190754922,0.9089248882189496,0.6614435422687277,0.6878954888752806,,,False
val_logistic_stack_C0.35_no_usergrade,0.5027759634225996,0.5027759634225996,0.8572828216851731,0.9621162638798171,0.28884723362443615,0.49521724797335315,1.2361201828870019,0.6926845199216198,0.15466619107803375,0.13246573133365586,0.19805812652975216,0.9311085415822714,0.6690445136996058,0.7025923657889365,,,False
hgb_lr0.03_leaf31_l20.01_no_usergrade,0.502449379490529,0.502449379490529,0.8576094056172436,0.9528086218158066,0.29835730683377026,0.4966024318774687,1.2854343566296538,0.7031352057478772,0.1589895040131714,0.11961619093694567,0.2425108225108225,1.0746021224922782,0.726181780735319,,,,False
val_logistic_stack_C0.35_no_usergrade_exact_bias,0.5001632919660353,0.5001632919660353,0.856629653821032,0.961463096015676,0.2832465932092448,0.49636938954509685,1.2366100587851079,0.69578706727629,0.13927191803260475,0.1275874858893727,0.16518266981234514,0.9359386284251383,0.6735483973325346,0.7034088589508063,,,False
val_logistic_stack_C0.7_no_usergrade,0.49869366427171785,0.49869366427171785,0.8553233180927499,0.9616263879817113,0.2851246387880352,0.49286625166953546,1.2405290659699544,0.6983997387328543,0.14849777897428992,0.13367521367521368,0.17543562003114496,0.9604999846588173,0.6784674072818282,0.7109614206981016,,,False
val_logistic_stack_C1.5_no_usergrade,0.4983670803396473,0.4983670803396473,0.8502612671456564,0.9599934683213586,0.28737897548213875,0.4939299834932179,1.272860875244938,0.7065643370346179,0.15248936496852822,0.1409562973713917,0.17517539931333034,0.9975534610135607,0.6898813859740682,0.7232088181261482,,,False
val_logistic_stack_C0.7_no_usergrade_exact_bias,0.498203788373612,0.498203788373612,0.8548334421946441,0.9599934683213586,0.26755321987347086,0.49162473505296056,1.2552253429131286,0.7016655780535598,0.11257257309108488,0.10705531365908724,0.1310360962566845,0.9665677636806519,0.6800434270660477,0.7138191467646459,,,False
sgd_log_alpha0.0003_no_usergrade,0.49624428478118876,0.49624428478118876,0.8453625081645983,0.9513389941214893,0.2707614584497985,0.48766364858696726,1.3755715218811235,0.7273024167210973,0.11685924493201835,0.09840670859538783,0.16459012751235846,0.9356563575900688,0.6828532688921045,,,,False
hgb_lr0.04_leaf31_l20.02_no_usergrade,0.4954278249510124,0.4954278249510124,0.8525473546701502,0.950032658393207,0.29041333395667046,0.48937799975441837,1.339810581319399,0.7202808621815807,0.1497620986220674,0.11731817448798583,0.22058588830242373,1.0830022885871498,0.7316302203182575,,,,False
val_logistic_stack_C4.0_no_usergrade,0.493958197256695,0.493958197256695,0.8430764206401045,0.9546048334421946,0.2660815223354197,0.49025793178268606,1.3471587197909862,0.7263226649248857,0.11265935214211076,0.11497339138848572,0.1139845420434786,1.0503377302991421,0.7053173090247331,0.7334149826495203,,,False
hgb_lr0.03_leaf63_l20.01_no_usergrade,0.4931417374265186,0.4931417374265186,0.8540169823644677,0.9497060744611365,0.2799286007334089,0.4870159256485349,1.3371979098628348,0.7212606139777923,0.1269769948035106,0.09898242218996936,0.18177606177606176,1.1112071229690086,0.7435914947920746,,,,False
val_logistic_stack_C1.5_no_usergrade_exact_bias,0.4915088177661659,0.4915088177661659,0.8489549314173742,0.9603200522534291,0.28349134078500404,0.4893610670031694,1.282005225342913,0.7144023514043109,0.14831045343792712,0.13677148846960166,0.1693068535825545,0.9977283949652224,0.692043517377615,0.7254541743212901,,,False
val_logistic_stack_C4.0_no_usergrade_exact_bias,0.4908556499020248,0.4908556499020248,0.8438928804702809,0.953625081645983,0.2670922684321849,0.49045129059453446,1.3438928804702808,0.7286087524493795,0.1148975468975469,0.11780358006773102,0.11789099796185429,1.0526347087865375,0.709977016653773,0.7370892018779343,,,False
val_logistic_stack_C8.0_no_usergrade,0.48987589810581317,0.48987589810581317,0.8394839973873286,0.9515022860875245,0.26387734530344475,0.48656031513948705,1.3966361854996734,0.7395493141737427,0.11386606274185866,0.12036768263183359,0.11041322314049587,1.0879204186299534,0.715118451332207,0.7399469279444785,,,False
random_exact_ensemble_no_usergrade,0.4882429784454605,0.4882429784454605,0.8407903331156107,0.953625081645983,0.2638045237808086,0.48776223265836066,1.3695297191378184,0.7359568909209667,0.11258656213880094,0.11456216739235607,0.11632047043679236,1.0567373942022582,0.7105138201860227,0.7426005307205552,val_logistic_stack_C8.0_no_usergrade_exact_bias;sgd_log_alpha0.0003_no_usergrade,0.9632;0.0368,False
val_logistic_stack_C8.0_no_usergrade_exact_bias,0.48595689092096667,0.48595689092096667,0.8403004572175049,0.9532984977139125,0.2630271191665187,0.4858397643008929,1.3760613977792293,0.7392227302416721,0.11235840356859465,0.11456216739235607,0.11594188173135542,1.0772372317757064,0.7155868225750143,0.7442335170442947,,,False
sgd_log_alpha0.0001_no_usergrade,0.4758327890267799,0.4758327890267799,0.8322991508817766,0.943337687785761,0.2668040311549301,0.46807252246741365,1.5324951012410188,0.7754735467015023,0.12489077312606725,0.14954523463957425,0.15483709273182958,1.0594079131698224,0.7088884207351941,,,,False
hgb_lr0.025_leaf127_l20.03_no_usergrade,0.4722403657740039,0.4722403657740039,0.8274003919007185,0.953625081645983,0.283524276066629,0.4757207180448466,1.4043109079033311,0.763226649248857,0.15116977225672878,0.11610869214642801,0.22335249889429454,1.142035179404919,0.7552705674578918,,,,False
sgd_log_alpha3e-05_no_usergrade,0.45460483344219466,0.45460483344219466,0.813847158719791,0.93370346178968,0.25899322116860746,0.45013136493601297,1.6828870019595037,0.8282168517308949,0.13291134901543114,0.10533301080470892,0.19393826785131135,1.2972026770309983,0.770902641222495,,,,False
sgd_log_alpha1e-05_no_usergrade,0.4544415414761594,0.4544415414761594,0.8068256041802744,0.9322338340953625,0.2588887517447035,0.4482033924730677,1.6835401698236447,0.8334421946440235,0.13627995193212583,0.10709885502338332,0.19190283400809716,1.4384199066807615,0.7969767435706834,,,,False
sgd_log_alpha3e-06_no_usergrade,0.4523187459177008,0.4523187459177008,0.8068256041802744,0.928314826910516,0.2523861937774664,0.44653920582246265,1.722240365774004,0.8417700849118224,0.12347432435699943,0.0911256248992098,0.20081395348837208,1.554805520694103,0.8190066883012617,,,,False
graph_knn25_no_usergrade,0.4412148922273024,0.4412148922273024,0.7689418680600915,0.8892880470280862,0.16785600136884332,0.39183158950821045,2.296864794252123,0.961463096015676,0.012565196775723092,0.006498951781970649,0.2125,1.4625526957772497,0.860176661285705,,,,False
complement_nb_no_usergrade,0.4402351404310908,0.4402351404310908,0.7676355323318093,0.9036577400391901,0.1815408085667058,0.4080353002676695,2.0648269105160026,0.9302743305029393,0.009876543209876543,0.0056603773584905665,0.03870967741935484,1.8213502590544455,0.9138257350944126,,,,False
graph_knn51_no_usergrade,0.43974526453298496,0.43974526453298496,0.7563683866753755,0.8763879817112998,0.15238797455314268,0.37771358188628734,2.43680600914435,0.9933050293925539,0.001834862385321101,0.0009433962264150943,0.03333333333333333,1.5008852096476846,0.8732741550198111,,,,False
graph_knn11_no_usergrade,0.4381123448726323,0.4381123448726323,0.771717831482691,0.8982691051600261,0.20680732087689888,0.4052672272151465,2.1838667537557153,0.9454604833442195,0.07614368690227649,0.04645541041767457,0.2436032863849765,1.432147780884822,0.8509345185851093,,,,False
