model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,epoch,val_exact,members,weights,target_exact_met
val_logistic_stack_C0.7,0.6069562377531026,0.6069562377531026,0.8922273024167211,0.9691378184193338,0.3551691866710579,0.5967531321834569,0.9985303723056825,0.5468647942521228,0.173203007518797,0.13846153846153847,0.2351449275362319,0.7740417710788478,0.5596086305304733,,,,,False
val_logistic_stack_C0.25,0.6064663618549967,0.6064663618549967,0.8941868060091444,0.9694644023514043,0.3444430750323556,0.59566003759919,0.977139124755062,0.5437622468974527,0.15297334717895464,0.1152072246411869,0.23332734674329503,0.7785770537396441,0.5610545864071114,,,,,False
val_logistic_stack_C4.0,0.6054866100587851,0.6054866100587851,0.8899412148922273,0.9671783148269105,0.3642716404589269,0.5963657907278079,1.0383736120182887,0.5550293925538864,0.19386039886039885,0.16538461538461538,0.23505020159696416,0.7930107006132575,0.56287811184531,,,,,False
random_exact_ensemble_with_custom_gat,0.6053233180927499,0.6053233180927499,0.8901045068582626,0.9671783148269105,0.36443291970126895,0.5962402200686993,1.0380470280862182,0.5550293925538864,0.19403296703296705,0.16538461538461538,0.23560280299410735,0.7916576579156651,0.5625563328464577,,0.6627883241477852,custom_edge_gat_seed471_ep21;val_logistic_stack_C4.0;val_logistic_stack_C0.7,0.0090;0.9789;0.0121,False
val_logistic_stack_C1.5,0.6033638145003266,0.6033638145003266,0.89157413455258,0.9678314826910516,0.36268486453275456,0.5938793927373011,1.0231874591770085,0.5538863487916394,0.1917722499107191,0.1567489114658926,0.2499196326061998,0.7785934857109004,0.5605023803778565,,,,,False
custom_edge_gat_seed572_ep11,0.5943827563683867,0.5943827563683867,0.8781841933376878,0.9611365120836055,0.36244854085288664,0.5940496873871385,1.1049967341606792,0.5834421946440235,0.1918426501035197,0.20192227060151588,0.18552312467406806,0.8497639557349363,0.5707091733403485,11.0,0.6084915288834456,,,False
hgb_lr0.04_leaf31,0.5863814500326584,0.5863814500326584,0.8786740692357936,0.9564010450685826,0.3502105034443196,0.5829332963867009,1.1281841933376877,0.5955258001306336,0.17406656743726182,0.1500354781486857,0.21201783723522855,0.9177789944492986,0.5934643284966551,,,,,False
custom_edge_gat_seed471_ep21,0.5858915741345526,0.5858915741345526,0.8741018941868061,0.9567276290006531,0.3514455065895431,0.5837146258215219,1.170476812540823,0.6032005225342914,0.18230248306997743,0.1944960490243509,0.17197469197469198,0.8980926675076366,0.5827803936105462,21.0,0.6088997754643805,,,False
sgd_log_alpha0.001,0.585564990202482,0.585564990202482,0.8682233834095362,0.953625081645983,0.35493921443324117,0.5770721244908519,1.2248530372305682,0.6147942521227956,0.1911304019905427,0.17359941944847607,0.22079877112135177,0.8251494224604315,0.5844232062357614,,,,,False
hgb_lr0.03_leaf63,0.5836054866100587,0.5836054866100587,0.8780209013716526,0.9601567602873938,0.36289460289231895,0.5828907739443542,1.1020574787720445,0.5932397126061397,0.19834952952846296,0.16950330591840027,0.24167528823541007,0.9352007074040212,0.6030672593601824,,,,,False
