model,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,val_exact,rules,members,weights,target_exact_met
val_logistic_stack_C0.35,0.6082625734813847,0.6082625734813847,0.8917374265186153,0.9699542782495101,0.35287287286423374,0.5978057597356713,0.9786087524493795,0.5435989549314174,0.16888334407260663,0.13144654088050314,0.24141684045881123,0.7794960222020945,0.5598813806582001,,,,,False
val_logistic_stack_C0.15,0.6077726975832789,0.6077726975832789,0.8912475506205094,0.9689745264532985,0.34666875578039474,0.5968249804789724,0.9820378837361202,0.5453951665578054,0.15776233035418735,0.11777132720528946,0.2465287653522948,0.7882041372198563,0.5628100668057644,,,,,False
random_exact_ensemble_dup_hier,0.6077726975832789,0.6077726975832789,0.8873285434356629,0.9661985630306988,0.3419364305439658,0.5983881111736007,1.0507838014369693,0.5569888961463096,0.14463033272096346,0.12913239800032253,0.16637434123847167,1.616470772076672,0.9411168585097689,0.6750357215758318,,route_val_logistic_stack_C8.0__typed_hold_cosine_knn11_hardug_thr0.85;dup_roleless_hardug;sgd_log_alpha1e-05;sgd_log_alpha0.0001;typed_hold_cosine_knn11_hardug;sgd_log_alpha0.0003;dup_hold_exact_hardug,0.5801;0.1609;0.0001;0.0185;0.0057;0.0325;0.2023,False
val_logistic_stack_C1.5,0.6076094056172436,0.6076094056172436,0.8894513389941215,0.9683213585891575,0.35186141552005024,0.5977455001750623,0.9965708687132593,0.5484977139124755,0.1670469818380937,0.13819545234639574,0.21138019652305368,0.7795305814809249,0.5586812743423768,,,,,False
val_logistic_stack_C8.0,0.6069562377531026,0.6069562377531026,0.8870019595035924,0.9661985630306988,0.3405365596512392,0.5978079355635343,1.0502939255388635,0.557805355976486,0.14384160032659726,0.12913239800032253,0.16389131701631704,0.8001019384827591,0.5623103559466114,,,,,False
route_val_logistic_stack_C8.0__typed_hold_cosine_knn11_hardug_thr0.85,0.6069562377531026,0.6069562377531026,0.8870019595035924,0.9661985630306988,0.3405365596512392,0.5978079355635343,1.0502939255388635,0.557805355976486,0.14384160032659726,0.12913239800032253,0.16389131701631704,0.8062699130753345,0.5560102460706384,0.6727903653806899,"[[""typed_hold_cosine_knn11_hardug"", 0.8499999999999999, 1594]]",,,False
val_logistic_stack_C0.7,0.6067929457870673,0.6067929457870673,0.8910842586544742,0.9696276943174396,0.34803405670525556,0.5963548960146933,0.9862834748530372,0.546374918354017,0.16148838371938856,0.12845508788905016,0.21897469926667004,0.7772589876311237,0.5588090742371276,,,,,False
val_logistic_stack_C4.0,0.606629653821032,0.606629653821032,0.8879817112998041,0.9671783148269105,0.34516682587037606,0.5971271064216532,1.0421293272371,0.5558458523840627,0.1532196108615104,0.13630865989356555,0.1772694688823721,0.7898173007458272,0.5603658056289936,,,,,False
extra_trees_dense900,0.6035271064663619,0.6035271064663619,0.8830829523187459,0.9586871325930765,0.3621958830065636,0.5957563975650427,1.080666231221424,0.5705421293272371,0.1873681586725065,0.14369779067892274,0.30909303707438285,0.8269411725082095,0.5738218390200486,,,,,False
extra_trees_dense500,0.6033638145003266,0.6033638145003266,0.8822664924885696,0.9580339647289353,0.36065222343250014,0.5959017600601779,1.089157413455258,0.5725016329196604,0.1845258009963892,0.14464118690533784,0.2720697755785475,0.8281357917490436,0.5739502280647988,,,,,False
hgb_lr0.02_leaf31_l20.01,0.5896472893533639,0.5896472893533639,0.8788373612018289,0.955421293272371,0.35078237700161957,0.5857765665438005,1.1263879817112998,0.5927498367080339,0.17256581509909497,0.14567327850346717,0.22129935146205484,0.9138297934060832,0.5935375790001769,,,,,False
sgd_log_alpha0.001,0.5896472893533639,0.5896472893533639,0.8685499673416068,0.9526453298497713,0.34486206025531524,0.5801829744805116,1.2310581319399085,0.6121815806662312,0.16857737761022434,0.1411175616835994,0.2192108738718908,0.8406054977936261,0.5995004215293852,,,,,False
hgb_lr0.04_leaf31_l20.02,0.5889941214892227,0.5889941214892227,0.8793272370999347,0.9570542129327237,0.34855480250936266,0.5848680575014708,1.109079033311561,0.5901371652514696,0.1709705008927093,0.1461006289308176,0.21253427686864215,0.9100745796910534,0.5909252942578227,,,,,False
sgd_log_alpha0.0003,0.5885042455911169,0.5885042455911169,0.8701828870019594,0.9549314173742652,0.35925803440189263,0.5806503035254412,1.2015022860875244,0.6080992815153494,0.193329285471414,0.17144654088050312,0.23063780125347288,0.8212645762202956,0.5735532237041618,,,,,False
hgb_lr0.025_leaf127_l20.03,0.5840953625081646,0.5840953625081646,0.8773677335075114,0.9537883736120183,0.37845645169439657,0.5805200495059595,1.1636185499673417,0.6035271064663619,0.22869832041343668,0.18950330591840023,0.29228571428571426,0.9361418075154923,0.5968341318297958,,,,,False
hgb_lr0.03_leaf63_l20.01,0.5836054866100587,0.5836054866100587,0.8780209013716526,0.9601567602873938,0.36289460289231895,0.5828907739443542,1.1020574787720445,0.5932397126061397,0.19834952952846296,0.16950330591840027,0.24167528823541007,0.9352007096620227,0.6030672604449587,,,,,False
sgd_log_alpha0.0001,0.5757674722403657,0.5757674722403657,0.8589157413455258,0.947583278902678,0.3692489027662694,0.5695816936790394,1.3220117570215546,0.6440235140431091,0.22835667184371763,0.19315594258990484,0.28323948746414307,0.8813940420628648,0.583618360801723,,,,,False
hier_sgd_band_local,0.5749510124101894,0.5749510124101894,0.8667537557152188,0.9539516655780536,0.3601521122217678,0.5707673215660664,1.2256694970607447,0.6257348138471587,0.20584310746651996,0.1928140622480245,0.2298795813482387,0.9051004068036129,0.5802306951436711,,,,,False
sgd_log_alpha3e-05,0.5574787720444154,0.5574787720444154,0.8486283474853037,0.942194644023514,0.3474288683174603,0.5516380591587988,1.4255388634879165,0.6809274983670803,0.20138360856560827,0.1733010804708918,0.2436595744680851,1.0472760060909134,0.625187193835152,,,,,False
sgd_log_alpha1e-05,0.5483344219464402,0.5483344219464402,0.839157413455258,0.9377857609405618,0.3628639000470997,0.5453365740710174,1.4955911169170477,0.7055845852384063,0.2414292195027111,0.20761328817932592,0.29237730740191104,1.2066524615738854,0.664358791334499,,,,,False
typed_hold_cosine_knn25_hardug,0.5437622468974527,0.5437622468974527,0.8105813193990856,0.9095362508164598,0.30311278104462935,0.5159652761298155,1.877694317439582,0.7852710646636185,0.1487016335907517,0.09103692952749556,0.4723076923076923,1.210174700397822,0.7175363707681601,,,,,False
typed_hold_cosine_knn51_hardug,0.5426192031352057,0.5426192031352057,0.8022534291312867,0.8999020248203788,0.2833248873583796,0.5083841227003127,2.02106466361855,0.8127041149575441,0.11736382153886589,0.07308498629253346,0.29891859774212715,1.2515724431150268,0.720844803429084,,,,,False
sgd_log_alpha3e-06,0.5421293272371,0.5421293272371,0.8287067276290007,0.9327237099934683,0.3532924398005621,0.5384909314981116,1.5573154800783802,0.7274657086871326,0.23214353127564316,0.2065650701499758,0.2670310559006211,1.3603518939032566,0.6971036576585782,,,,,False
typed_hold_cosine_knn11_hardug,0.5364141084258655,0.5364141084258655,0.810254735467015,0.9129653821032006,0.3126238373343807,0.5161080044225593,1.8311561071195297,0.7854343566296538,0.17072215667541835,0.12062893081761006,0.29976383265856954,1.2222569781232662,0.737379526866662,,,,,False
