model,val_exact,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,mse_argmax,mae_argmax,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_expected,mae_expected,epoch,bias_val_exact,members,weights,target_exact_met
val_meta_C0.15_bias,0.5660338844662176,0.5377204441541477,0.5377204441541477,0.8827563683866754,0.9688112344872633,0.2621704898180399,0.5197914706395232,1.0550293925538863,0.6213259307642064,0.06441880883859324,0.03995323334945977,0.23409563409563408,0.8610375346818362,0.6556300859392056,,0.5688916105327618,,,False
val_meta_C0.05_bias,0.5533782404572362,0.5369039843239712,0.5369039843239712,0.8791639451338994,0.96685173089484,0.23779811130584722,0.5142726141372854,1.0790333115610713,0.6280209013716526,0.01889763779527559,0.011320754716981133,0.05714285714285714,0.8838434447153455,0.6626657773069577,,0.5584813227189223,,,False
val_meta_C0.05,0.5533782404572362,0.5359242325277597,0.5359242325277597,0.8790006531678641,0.967504898758981,0.24460008352897028,0.514769627026102,1.0796864794252123,0.6286740692357936,0.035842293906810034,0.02358490566037736,0.0746268656716418,0.8852197670985097,0.6587073333525448,,,,,False
val_meta_C0.15,0.5660338844662176,0.5355976485956891,0.5355976485956891,0.8809601567602874,0.967504898758981,0.2659993210952084,0.5172231748038871,1.0677661659046376,0.6262246897452646,0.07787245902210455,0.050774068698597,0.2196616541353383,0.8608518841200264,0.6488932102932076,,,,,False
val_meta_C0.35,0.5697081036946315,0.53314826910516,0.53314826910516,0.8803069888961463,0.9681580666231221,0.2760025060384009,0.5170172782953153,1.0720117570215546,0.6291639451338994,0.10057186234817814,0.07183518787292371,0.18104575163398692,0.8511705064008421,0.6456073648735164,,,,,False
val_meta_C0.7,0.5766482955705245,0.5308621815806662,0.5308621815806662,0.8819399085564991,0.9684846505551927,0.29730821298183707,0.5160480777058101,1.0697256694970607,0.6298171129980406,0.1439763442468976,0.1034623447830995,0.27233333333333337,0.8463191301655385,0.6443227469911221,,,,,False
val_meta_C0.35_bias,0.5697081036946315,0.5308621815806662,0.5308621815806662,0.8785107772697583,0.9670150228608753,0.2779581676803102,0.5115496054206761,1.086218158066623,0.6345525800130634,0.10601092896174862,0.07822931785195936,0.20367375886524824,0.8521531520807198,0.6426137411039304,,0.5756276791181874,,,False
random_prob_blend,0.5878750765462339,0.530698889614631,0.530698889614631,0.8814500326583932,0.9691378184193338,0.2986107196538595,0.5160518981540739,1.068092749836708,0.6298171129980406,0.1472667233148881,0.11063860667634251,0.2564761463640574,0.8432300937311725,0.6450263687375138,,,graph_knn5;val_meta_C1.5,0.0385;0.9615,False
val_meta_C0.7_bias,0.5766482955705245,0.5303723056825604,0.5303723056825604,0.8842259960809928,0.9706074461136512,0.3025763411688981,0.5207374578759402,1.0449052906596996,0.6249183540169824,0.15308561495002174,0.12017739074342845,0.2662648296976655,0.8458668850370491,0.64826050701243,,0.5809348846703409,,,False
val_meta_C1.5_bias,0.58420085731782,0.5292292619203135,0.5292292619203135,0.8811234487263226,0.9684846505551927,0.298609392341686,0.5155974347474801,1.0749510124101893,0.6324297844546048,0.14826356536167334,0.10953394613771975,0.2620209683367578,0.8510405498023059,0.645123644097255,,0.5888956929985711,,,False
val_meta_C1.5,0.58420085731782,0.528902677988243,0.528902677988243,0.8819399085564991,0.9691378184193338,0.2983740316151562,0.5148260779499196,1.0695623775310255,0.6312867406923579,0.14791700081358125,0.11158200290275762,0.2557297895902547,0.8442826828310886,0.643926706809557,,,,,False
hgb_lr0.03_leaf31_l20.01,0.5066340069401919,0.519268451992162,0.519268451992162,0.8639777922926192,0.9581972566949706,0.298831182003666,0.5124172478257512,1.2375898105813194,0.6755388634879164,0.14690254426816113,0.11264634736332849,0.23157537154989383,1.0507696242619573,0.6775587265477709,,,,,False
hgb_lr0.025_leaf127_l20.03,0.5094917330067361,0.5166557805355977,0.5166557805355977,0.8522207707380797,0.9521554539516656,0.30351469084615246,0.5089133692446409,1.315643370346179,0.6977465708687133,0.16424201529464688,0.13571036929527497,0.2158901450268357,1.101583659525904,0.679637870592575,,,,,False
extra_trees1200_leaf1,0.5117370892018779,0.5143696930111038,0.5143696930111038,0.8447093403004572,0.9435009797517963,0.2401559129520133,0.4769868366858917,1.3912475506205095,0.71685173089484,0.07269342679178745,0.040383809063054346,0.38125,0.999834316065993,0.7304738195764762,,,,,False
hgb_lr0.03_leaf63_l20.01,0.50438865074505,0.5142064010450685,0.5142064010450685,0.8592423252775964,0.9542782495101241,0.2994472548137334,0.5081683822720527,1.2864141084258653,0.6907250163291966,0.15798067016631506,0.12436219964521851,0.2311827956989247,1.100738994700403,0.6783235350547999,,,,,False
hgb_lr0.04_leaf31_l20.02,0.5076546233925291,0.5137165251469628,0.5137165251469628,0.8621815806662312,0.9567276290006531,0.29095846252782226,0.5068932452780859,1.2624101894186806,0.6850097975179621,0.13916122004357298,0.1063973552652798,0.2142528735632184,1.059819178449228,0.6737309064076573,,,,,False
extra_trees1200_leaf2,0.5107164727495407,0.5130633572828217,0.5130633572828217,0.839157413455258,0.9390920966688439,0.21418988776876358,0.46970912601121356,1.4469301110385369,0.730078380143697,0.02804801499352958,0.014723431704563781,0.47777777777777775,1.0530859947471443,0.7593165852829525,,,,,False
sgd_l2_alpha0.003,0.5078587466829966,0.5112671456564337,0.5112671456564337,0.8486283474853037,0.9516655780535598,0.27702771955420513,0.497518356543758,1.3563030698889615,0.709666884389288,0.11993049763691965,0.10073697790678923,0.15697947214076244,0.9283749382395358,0.7153403773789183,,,,,False
edge_gat_seed471,0.5145948152684221,0.5099608099281515,0.5099608099281515,0.8453625081645983,0.9482364467668191,0.2887371599910066,0.5030871658301933,1.371652514696277,0.7171783148269105,0.13946296519449553,0.20212062570553138,0.12943219918599577,0.9977313877957281,0.6894622772279914,6.0,,,,False
edge_gat_seed673,0.5123494590732802,0.50898105813194,0.50898105813194,0.8512410189418681,0.9546048334421946,0.3117138615043622,0.5048541014380428,1.297028086218158,0.7023187459177008,0.18911111882691395,0.26263828414771806,0.1596762996090546,0.9840354667876133,0.6895664072258902,11.0,,,,False
edge_gat_seed572,0.5172484180444988,0.507838014369693,0.507838014369693,0.8696930111038537,0.9619529719137818,0.26820213841165275,0.5029519534006575,1.194480731548008,0.6758654474199869,0.10526539729815979,0.13892114175133044,0.0868416030534351,1.0283727091250476,0.7198533734936586,1.0,,,,False
sgd_l2_alpha0.001,0.49969381506429883,0.5073481384715872,0.5073481384715872,0.8483017635532332,0.951828870019595,0.2855747291702939,0.4944746567239135,1.3380143696930111,0.7116263879817113,0.1432695374800638,0.12210772456055477,0.18172619047619049,0.8940220210005919,0.679398682625398,,,,,False
extra_trees1200_leaf4,0.5041845274545825,0.5057152188112345,0.5057152188112345,0.8306662312214239,0.9320705421293273,0.19165296786534552,0.45343824245294456,1.5395166557805355,0.756041802743305,0.003686635944700461,0.0018867924528301887,0.08,1.1133420049633178,0.7862505246313476,,,,,False
sgd_l2_alpha0.0003,0.4952031026740151,0.4951012410189419,0.4951012410189419,0.8425865447419987,0.9462769431743958,0.2823425803433951,0.4841750507550324,1.413291966035271,0.7375898105813194,0.14685093298913593,0.13834704079987098,0.16848887546561966,0.951848355949304,0.6869511149042826,,,,,False
sgd_l2_alpha0.0001,0.4792814860175546,0.47713912475506204,0.47713912475506204,0.8334421946440235,0.9446440235140431,0.277285533422168,0.4690038680095892,1.475179621162639,0.766819072501633,0.1478806170355466,0.11644412191582001,0.20412920412920413,1.0478942934400677,0.7084487976245442,,,,,False
sgd_l2_alpha3e-05,0.45846091038987546,0.46064663618549967,0.46064663618549967,0.8233180927498367,0.9403984323971261,0.2674139679065155,0.4561716058062495,1.5403331156107118,0.7973546701502287,0.13796687465878527,0.10764715368488953,0.1988235294117647,1.2272380978736768,0.7553236181745975,,,,,False
graph_knn25,0.4415186772810778,0.4412148922273024,0.4412148922273024,0.7677988242978445,0.8873285434356629,0.17518212029759142,0.39339394484547924,2.2764532984977137,0.9612998040496408,0.02741574908241575,0.014723431704563781,0.31666666666666665,1.4609619355016041,0.8610843517048045,,,,,False
graph_knn11,0.43457848540518473,0.4399085564990203,0.4399085564990203,0.7723709993468322,0.8984323971260614,0.21314899055099762,0.4083876653089983,2.173579359895493,0.9423579359895493,0.08398542177767702,0.053220448314787935,0.21234707321663843,1.4454308004178742,0.8571200927526031,,,,,False
graph_knn51,0.4331496223719126,0.43403004572175047,0.43403004572175047,0.7558785107772698,0.8754082299150882,0.15100270406359106,0.37301259717538027,2.4735467015022863,1.0032658393207055,0.005529953917050691,0.0028301886792452833,0.12,1.4993690557492336,0.8751103847894689,,,,,False
graph_knn5,0.4237599510104103,0.4160679294578707,0.4160679294578707,0.7627367733507512,0.9010450685826258,0.20404164171001207,0.39590451115022923,2.185989549314174,0.9701175702155453,0.07880048950981505,0.05494597645541042,0.14546442994718856,1.5132849776161594,0.8725390530986423,,,,,False
graph_knn3,0.4160032659726475,0.41116917047681256,0.41116917047681256,0.7583278902677988,0.8958197256694971,0.21176902942778417,0.39943777272280523,2.2942521227955583,0.992815153494448,0.08779536465512076,0.07940977261731978,0.10147076552139844,1.629566680681001,0.8999724415788496,,,,,False
