model,selected_by,epoch,exact_acc,micro_f1,relaxed_acc,within2_acc,macro_f1,weighted_f1,rare_f1_5_9,rare_recall_5_9,rare_precision_5_9,mse_argmax,rmse_argmax,mae_argmax,mse_expected,rmse_expected,mae_expected,members,weights,target_exact_met,score_exact_mse
ensemble_with_gnn,val_exact_random_0,-1,0.4928151534944481,0.4928151534944481,0.8339320705421294,0.939745264532985,0.22493219121377087,0.457087876077509,0.07600976140435538,0.08159974197710047,0.14395480225988702,1.4400718484650554,1.200029936487026,0.7509797517962117,1.0478068159797842,1.023624352963422,0.7353279284575825,hybrid_gatv2_composite;hybrid_transformer_relaxed;hybrid_gine_composite;hybrid_transformer_composite,0.3746;0.0920;0.4381;0.0953,False,0.42081156107119533
hybrid_gatv2,exact,10,0.48726322664924887,0.48726322664924887,0.8345852384062704,0.9467668190725016,0.21116843621477854,0.4600596378806146,0.03175105485232067,0.021722302854378324,0.07317647058823529,1.4002286087524494,1.1833125575064474,0.7477139124755062,1.1456607684257736,1.0703554402280457,0.7811663900769682,,,False,0.4172517962116264
hybrid_gine,relaxed,16,0.4870999346832136,0.4870999346832136,0.8631613324624429,0.9634225996080993,0.2572209819379432,0.4897952588640983,0.0888857538857539,0.0691985163683277,0.17403822288409035,1.2068909209666885,1.0985858732783198,0.6987263226649248,1.0893530109745977,1.04372075335053,0.7602607076249288,,,False,0.42675538863487916
hybrid_gine,mse,16,0.4870999346832136,0.4870999346832136,0.8631613324624429,0.9634225996080993,0.2572209819379432,0.4897952588640983,0.0888857538857539,0.0691985163683277,0.17403822288409035,1.2068909209666885,1.0985858732783198,0.6987263226649248,1.0893530110192056,1.0437207533718995,0.7602607080691471,,,False,0.42675538863487916
hybrid_gine,exact,11,0.4870999346832136,0.4870999346832136,0.8229915088177662,0.9323971260613978,0.22730605112738594,0.454882236131172,0.07244597701149424,0.1187469762941461,0.11789982201881515,1.5672762900065316,1.2519090582013261,0.7802090137165252,1.182642976537498,1.0874938972414963,0.7767765171694947,,,False,0.408736120182887
hybrid_gine,composite,25,0.48661005878510777,0.48661005878510777,0.8512410189418681,0.9555845852384063,0.29437076157532743,0.4832089158029931,0.17195617248248823,0.16845186260280598,0.1856701218403346,1.32527759634226,1.1512070171529794,0.7240365774003918,1.1299520061696777,1.0629920066348937,0.7618386844227213,,,False,0.42034617896799475
hybrid_transformer,macro,41,0.48269105160026127,0.48269105160026127,0.8375244937949053,0.9505225342913128,0.27133118796180977,0.4862592019895749,0.12274531865856875,0.13969843573617158,0.11325316319058495,1.4407250163291967,1.20030205212238,0.7522860875244938,1.1674035200215997,1.0804644927167204,0.7708849416317339,,,False,0.41065480078380145
hybrid_transformer,composite,41,0.48269105160026127,0.48269105160026127,0.8375244937949053,0.9505225342913128,0.27133118796180977,0.4862592019895749,0.12274531865856875,0.13969843573617158,0.11325316319058495,1.4407250163291967,1.20030205212238,0.7522860875244938,1.167403523969329,1.080464494543587,0.7708849436659795,,,False,0.41065480078380145
hybrid_transformer,exact,14,0.4808948399738733,0.4808948399738733,0.8215218811234487,0.9328870019595036,0.21495436226639203,0.43748708407668213,0.06676714090507194,0.06873407514916949,0.13656565656565658,1.5486610058785109,1.2444520906320624,0.7847811887655127,1.1018537165355358,1.0496922008548677,0.7461167906300232,,,False,0.4034617896799477
hybrid_gatv2,macro,57,0.4779555845852384,0.4779555845852384,0.8386675375571522,0.9485630306988896,0.26193538841244185,0.47675943823825884,0.1157555368657135,0.1206982744718594,0.11736206110351118,1.4286414108425864,1.1952578846602882,0.7552253429131287,1.1244392613153222,1.060395804082288,0.7616297036049449,,,False,0.40652351404310905
